"Ticker","company_name","Return","Volatility","Cluster","Cluster_Label"
"NVDA","Nvidia",0.277062956252326,0.633369429615367,"4","High Volatility / Speculative"
"MSFT","Microsoft",0.359353260310327,0.29405861375091,"2","Aggressive Growth"
"AAPL","Apple Inc.",-0.357412511577493,0.405193389690525,"1","Conservative / Defensive"
"AMZN","Amazon",-0.00786423009163422,0.382002652211415,"2","Aggressive Growth"
"META","Meta Platforms",0.434030602060416,0.429675257607855,"4","High Volatility / Speculative"
"AVGO","Broadcom",0.359216178210368,0.606766669712816,"4","High Volatility / Speculative"
"GOOGL","Alphabet Inc. (Class A)",-0.150428594810788,0.362671197044582,"2","Aggressive Growth"
"GOOG","Alphabet Inc. (Class C)",-0.149916420349665,0.358371788831953,"2","Aggressive Growth"
"TSLA","Tesla, Inc.",-0.369238501876752,0.764995537610641,"1","Conservative / Defensive"
"BRK.B","Berkshire Hathaway",0.154211954897179,0.229834440377709,"2","Aggressive Growth"
"ORCL","Oracle Corporation",0.573169435611683,0.535799393979874,"4","High Volatility / Speculative"
"WMT","Walmart",0.172672871724786,0.287425454901035,"2","Aggressive Growth"
"JPM","JPMorgan Chase",0.393477395655316,0.299366719542891,"2","Aggressive Growth"
"LLY","Lilly (Eli)",0.00390429127829811,0.440325880823537,"2","Aggressive Growth"
"V","Visa Inc.",0.256734611698764,0.267624566119382,"2","Aggressive Growth"
"NFLX","Netflix",0.85853877756778,0.368443095277378,"4","High Volatility / Speculative"
"MA","Mastercard",0.15195288575112,0.275957685613083,"2","Aggressive Growth"
"XOM","ExxonMobil",0.00948814683501632,0.28301196528212,"2","Aggressive Growth"
"JNJ","Johnson & Johnson",0.122564509472793,0.223482237723451,"2","Aggressive Growth"
"PLTR","Palantir Technologies",1.23914610381942,0.828373752247676,"4","High Volatility / Speculative"
"COST","Costco",0.175793010576563,0.258552345316873,"3","Stable Yield"
"ABBV","AbbVie",0.070519769460612,0.292747061677821,"2","Aggressive Growth"
"BAC","Bank of America",0.137817177984462,0.333043628394449,"2","Aggressive Growth"
"HD","Home Depot (The)",-0.120397194869304,0.248905391867219,"2","Aggressive Growth"
"AMD","Advanced Micro Devices",0.338210188399616,0.591979218997715,"4","High Volatility / Speculative"
"PG","Procter & Gamble",-0.0852895892225488,0.219439364831342,"2","Aggressive Growth"
"UNH","UnitedHealth Group",-0.977473197648393,0.597697228810512,"1","Conservative / Defensive"
